0-2 months	ABST	N	1
3-12 months	ABST	N	2
13-24 months	ABST	N	3
25-36 months	ABST	N	4
37-48 months	ABST	N	5
49-60 months	ABST	N	6
>60 months	ABST	N	7
Continues To Smoke	ABST	N	8
Unknown duration	ABST	N	998
Not Reported	ACTIVLVL	N	Null or Missing
No change in activity level	ACTIVLVL	N	1
Mild decrease in activity level	ACTIVLVL	N	2
Moderate decrease in activity level	ACTIVLVL	N	3
Severe decrease in activity level	ACTIVLVL	N	4
Increase in activity level	ACTIVLVL	N	5
Unknown	ACTIVLVL	N	6
Unknown	ACTIVLVL	N	**OTHER**
Medical therapy	ARRHYTH	N	1
Cardioversion	ARRHYTH	N	2
Electrophysiologic Ablation	ARRHYTH	N	3
Grade 1 ? Bilious JP drainage more than 10 days	BILGRD	N	1
Grade 2 ? Interventional procedure (ERCP, PTC, percutaneous drainage, etc.)	BILGRD	N	2
Grade 1 AND Grade 2	BILGRD	N	3
Grade 3 ? Surgical Intervention	BILGRD	N	4
Grade 2 AND Grade 3	BILGRD	N	6
Grade 1, Grade 2, AND Grade 3	BILGRD	N	7
Not Reported	CIGYRS	N	Null or Missing
0-10	CIGYRS	N	1
11-20	CIGYRS	N	2
21-30	CIGYRS	N	3
31-40	CIGYRS	N	4
41-50	CIGYRS	N	5
>50	CIGYRS	N	6
Unknown pack years	CIGYRS	N	998
Unknown	CIGYRS	N	**OTHER**
Not Reported	CITIZEN	N	Null or Missing
US Citizen	CITIZEN	N	1
RESIDENT ALIEN	CITIZEN	N	2
NON-RESIDENT ALIEN	CITIZEN	N	3
Non-US Citizen/US Resident	CITIZEN	N	4
Non-US Citizen/Non-US Resident, Traveled to US for Reason Other Than Transplant	CITIZEN	N	5
Non-US Citizen/Non-US Resident, Traveled to US for Transplant	CITIZEN	N	6
Unknown	CITIZEN	N	**OTHER**
Added to UNOS TX candidate waiting list	COMPKIF	N	1
Other, specify	COMPKIF	N	2
Bile Leak	COMPLIF	N	1
Hepatic Resection	COMPLIF	N	2
Abscess	COMPLIF	N	4
Abscess AND Bile Leak	COMPLIF	N	5
Liver Failure	COMPLIF	N	8
Added to UNOS TX candidate waiting list	COMPLIF	N	16
Added to UNOS TX candidate waiting list AND Liver Failure	COMPLIF	N	24
Added to UNOS TX candidate waiting list AND Liver Failure AND Abscess AND Bile Leak AND Hepatic Resection	COMPLIF	N	31
Other, specify	COMPLIF	N	32
Other,specify AND Bile Leak	COMPLIF	N	33
Other,specify AND Abscess	COMPLIF	N	36
Other,specify AND Abscess AND Bile Leak	COMPLIF	N	37
Other,specify AND Added to UNOS TX candidate waiting list	COMPLIF	N	48
Insulin	DIABTRT	N	1
Oral Hypoglycemic Agent	DIABTRT	N	2
Insulin AND Oral Hypoglycemic Agent	DIABTRT	N	3
Diet	DIABTRT	N	4
Insulin AND Diet	DIABTRT	N	5
Oral Hypoglycemic Agent AND Diet	DIABTRT	N	6
Insulin AND Oral Hypoglycemic Agent AND Diet	DIABTRT	N	7
Not Reported	DONORGL	C	
Living Donor Heart Transplant	DONORGL	C	HR
Intestine Segment	DONORGL	C	INS1
Liver Segment	DONORGL	C	LIS1
Domino Whole Liver	DONORGL	C	LIWD
Left Kidney	DONORGL	C	LKI
Left Lung Lobe	DONORGL	C	LLL
Left Single Lung	DONORGL	C	LUL
Right Single Lung	DONORGL	C	LUR
Pancreas Segment	DONORGL	C	PAS1
Right Kidney	DONORGL	C	RKI
Right Lung Lobe	DONORGL	C	RLL
Unknown	DONORGL	C	**OTHER**
Not Reported	EDLEVEL	N	Null or Missing
NONE	EDLEVEL	N	1
GRADE SCHOOL (0-8)	EDLEVEL	N	2
HIGH SCHOOL (9-12) or GED	EDLEVEL	N	3
ATTENDED COLLEGE/TECHNICAL SCHOOL	EDLEVEL	N	4
ASSOCIATE/BACHELOR DEGREE	EDLEVEL	N	5
POST-COLLEGE GRADUATE DEGREE	EDLEVEL	N	6
N/A (< 5 YRS OLD)	EDLEVEL	N	996
UNKNOWN	EDLEVEL	N	998
